alpha,auc,weighted_weight,stacking_weight
1.0,0.679986535137876,1.0,0.0
0.9,0.6793792291405917,0.9,0.09999999999999998
0.8,0.6782578259483699,0.8,0.19999999999999996
0.6,0.6767479290198646,0.6,0.4
0.7,0.6756752825751434,0.7,0.30000000000000004
0.5,0.6736337304528812,0.5,0.5
0.4,0.6723607633739059,0.4,0.6
0.3,0.6722327464181815,0.3,0.7
0.2,0.6700850478238393,0.2,0.8
0.1,0.6646492976982706,0.1,0.9
0.0,0.6610527047663007,0.0,1.0
